congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
119,House,22526,62,3,CO,200,,,"HURD, Jeff",H001100,1979.0,,0.317,0.307,-32.88145,0.94156,546,12,,0.317,0.306
119,House,29710,62,1,CO,100,,,"DEGETTE, Diana",D000197,1957.0,,-0.431,-0.309,-16.35292,0.97006,538,6,,-0.522,-0.263
119,House,20706,1,2,CT,100,,,"COURTNEY, Joe",C001069,1953.0,,-0.337,0.041,-35.41253,0.93404,519,16,,-0.289,-0.01
119,House,20907,1,4,CT,100,,,"HIMES, James A.",H001047,1966.0,,-0.24,-0.203,-48.96453,0.91407,545,22,,-0.222,-0.152
119,House,21931,1,5,CT,100,,,"HAYES, Jahana",H001081,1973.0,,-0.34,-0.055,-27.924,0.94951,539,18,,-0.371,-0.156
119,House,29109,1,3,CT,100,,,"DeLAURO, Rosa L.",D000216,1943.0,,-0.414,-0.107,-29.78301,0.94672,544,12,,-0.331,-0.191
119,House,29908,1,1,CT,100,,,"LARSON, John B.",L000557,1948.0,,-0.396,-0.04,-22.79227,0.95829,535,9,,-0.377,-0.143
119,House,22535,11,1,DE,100,,,"MCBRIDE, Sarah",M001238,1990.0,,-0.263,-0.374,-34.66419,0.93838,545,17,,-0.263,-0.374
119,House,21993,55,0,DC,100,,,"NORTON, Eleanor Holmes",N000147,1937.0,,-0.493,-0.093,-3.47174,0.95293,72,2,,-0.489,0.459
119,House,20316,43,26,FL,200,,,"DIAZ-BALART, Mario",D000600,1961.0,,0.282,0.165,-24.4953,0.95441,525,6,,0.305,0.51
119,House,20504,43,25,FL,100,,,"WASSERMAN SCHULTZ, Debbie",W000797,1966.0,,-0.413,0.105,-35.20534,0.93666,538,18,,-0.371,0.174
119,House,20708,43,14,FL,100,,,"CASTOR, Kathy",C001066,1966.0,,-0.435,0.09,-55.84007,0.90141,538,15,,-0.553,0.704
119,House,20709,43,16,FL,200,,,"BUCHANAN, Vernon G.",B001260,1951.0,,0.361,-0.076,-32.13074,0.93906,511,7,,0.362,0.116
119,House,20758,43,12,FL,200,,,"BILIRAKIS, Gus",B001257,1963.0,,0.423,-0.03,-30.69517,0.94434,536,12,,0.457,0.054
119,House,21116,43,11,FL,200,,,"WEBSTER, Daniel A.",W000806,1949.0,,0.524,-0.073,-36.9575,0.9342,543,16,,0.604,0.08
119,House,21118,43,24,FL,100,,,"WILSON, Frederica",W000808,1942.0,,-0.476,-0.001,-14.30105,0.96462,397,6,,-0.47,0.183
119,House,21321,43,22,FL,100,,,"FRANKEL, Lois",F000462,1948.0,,-0.395,-0.017,-23.08037,0.95691,524,11,,-0.431,0.258
119,House,21714,43,2,FL,200,,,"DUNN, Neal Patrick",D000628,1953.0,,0.508,0.343,-15.25322,0.96879,481,9,,0.545,0.67
119,House,21735,43,21,FL,200,,,"MAST, Brian Jeffrey",M001199,1980.0,,0.461,-0.32,-51.05625,0.90898,535,25,,0.497,0.003
119,House,21744,43,5,FL,200,,,"RUTHERFORD, John Henry",R000609,1952.0,,0.433,0.071,-28.31079,0.94408,492,13,,0.469,0.129
119,House,21746,43,9,FL,100,,,"SOTO, Darren Michael",S001200,1978.0,,-0.339,0.229,-55.34449,0.90394,548,30,,-0.324,0.391
119,House,21971,43,17,FL,200,,,"STEUBE, W. Greg",S001214,1978.0,,0.689,-0.358,-56.20079,0.89993,533,26,,0.684,-0.495
119,House,21981,43,6,FL,200,,,"WALTZ, Michael",W000823,1974.0,,0.452,-0.113,-0.00399,0.99934,6,0,,0.682,0.732
119,House,22107,43,3,FL,200,,,"CAMMACK, Kat",C001039,1988.0,,0.591,-0.257,-51.21121,0.90984,542,24,,0.608,-0.339
119,House,22111,43,19,FL,200,,,"DONALDS, Byron",D000032,1978.0,,0.636,-0.308,-51.54487,0.90387,510,22,,0.582,-0.467
119,House,22116,43,18,FL,200,,,"FRANKLIN, C. Scott",F000472,1964.0,,0.626,0.211,-23.31721,0.95819,546,8,,0.706,0.516
119,House,22118,43,28,FL,200,,,"GIMENEZ, Carlos A.",G000593,1954.0,,0.328,0.157,-25.40402,0.95159,512,9,,0.269,0.52
119,House,22150,43,27,FL,200,,,"SALAZAR, Maria Elvira",S000168,1961.0,,0.274,0.162,-36.07357,0.92832,485,16,,0.296,0.147
119,House,22163,43,20,FL,100,,,"CHERFILUS-MCCORMICK, Sheila",C001127,1979.0,,-0.429,-0.005,-19.08697,0.9543,408,8,,-0.439,0.298
119,House,22302,43,4,FL,200,,,"BEAN, Aaron",B001314,1967.0,,0.697,-0.162,-43.77643,0.92336,549,20,,0.737,-0.209
119,House,22321,43,10,FL,100,,,"FROST, Maxwell",F000476,1997.0,,-0.442,-0.704,-11.74355,0.97876,547,4,,-0.487,-0.676
119,House,22341,43,15,FL,200,,,"LEE, Laurel",L000597,1974.0,,0.422,0.166,-33.66096,0.93743,521,16,,0.502,0.137
119,House,22343,43,13,FL,200,,,"LUNA, Anna",L000596,1989.0,,0.558,-0.51,-78.93455,0.85342,498,32,,0.528,-0.51
119,House,22350,43,7,FL,200,,,"MILLS, Cory",M001216,1980.0,,0.604,-0.318,-42.58213,0.92377,537,16,,0.606,-0.346
119,House,22353,43,23,FL,100,,,"MOSKOWITZ, Jared",M001217,1980.0,,-0.226,0.294,-56.69879,0.89891,532,16,,-0.213,0.265
119,House,22523,43,8,FL,200,,,"HARIDOPOLOS, Mike",H001099,1970.0,,0.453,0.01,-36.7193,0.9345,542,18,,0.452,0.009
119,House,22562,43,6,FL,200,,,"FINE, Randy",F000484,1974.0,,0.577,-0.366,-75.38406,0.84945,462,36,,0.577,-0.367
119,House,22563,43,1,FL,200,,,"PATRONIS, Jimmy",P000622,1972.0,,0.528,-0.146,-56.41508,0.89083,488,21,,0.528,-0.147
119,House,20321,44,13,GA,100,,,"SCOTT, David",S001157,1945.0,,-0.305,0.165,-27.11079,0.93661,414,13,,-0.373,-0.006
119,House,20712,44,4,GA,100,,,"JOHNSON, Hank",J000288,1954.0,,-0.479,-0.054,-44.00221,0.92175,540,14,,-0.662,0.156
119,House,21123,44,8,GA,200,,,"SCOTT, Austin",S001189,1969.0,,0.538,0.35,-38.50877,0.93202,547,14,,0.615,0.229
119,House,21513,44,1,GA,200,,,"CARTER, Buddy",C001103,1957.0,,0.556,0.33,-26.65959,0.95021,522,7,,0.524,0.169
119,House,21515,44,11,GA,200,,,"LOUDERMILK, Barry D.",L000583,1963.0,,0.676,0.04,-34.6889,0.93547,520,20,,0.564,0.093
119,House,21516,44,12,GA,200,,,"ALLEN, Rick W.",A000372,1951.0,,0.689,0.278,-26.34084,0.95282,545,7,,0.646,0.252
119,House,21944,44,6,GA,100,,,"McBATH, Lucy",M001208,1960.0,,-0.37,0.294,-28.18087,0.94745,522,9,,-0.424,0.353
119,House,22110,44,9,GA,200,,,"CLYDE, Andrew S.",C001116,1963.0,,0.822,-0.16,-47.19795,0.91371,523,21,,0.863,-0.265
119,House,22121,44,14,GA,200,,,"GREENE, Marjorie Taylor",G000596,1974.0,,0.8,-0.6,-38.98234,0.86783,275,18,,0.637,-0.647
119,House,22156,44,5,GA,100,,,"WILLIAMS, Nikema",W000788,1978.0,,-0.44,-0.387,-18.07413,0.96622,526,6,,-0.515,-0.191
119,House,22310,44,10,GA,200,,,"COLLINS, Mike",C001129,1967.0,,0.68,-0.244,-40.49544,0.92788,541,16,,0.706,-0.212
119,House,22346,44,7,GA,200,,,"MCCORMICK, Rich",M001218,1968.0,,0.891,0.454,-51.33833,0.91042,547,19,,0.891,0.454
119,House,22527,44,3,GA,200,,,"JACK, Brian",J000311,1988.0,,0.559,0.046,-35.00971,0.93822,549,18,,0.559,0.045
119,House,22568,44,14,GA,200,,,"FULLER, Clay",F000485,,,0.746,-0.141,-9.82886,0.93532,147,3,,0.745,-0.142
119,House,29339,44,2,GA,100,,,"BISHOP, Sanford Dixon, Jr.",B000490,1947.0,,-0.289,0.446,-80.34133,0.86152,539,39,,-0.45,0.721
119,House,22373,94,0,GU,200,,,"MOYLAN, James",M001219,1962.0,,0.33,0.064,-43.79736,0.52515,68,19,,0.088,0.198
119,House,20322,82,1,HI,100,,,"CASE, Ed",C001055,1952.0,,-0.207,-0.076,-58.97609,0.89744,545,26,,-0.255,-0.002
119,House,22369,82,2,HI,100,,,"TOKUDA, Jill",T000487,1976.0,,-0.462,-0.344,-12.15974,0.97802,547,5,,-0.47,-0.211
119,House,21920,63,1,ID,200,,,"FULCHER, Russell",F000469,1962.0,,0.643,-0.119,-52.55963,0.90758,542,24,,0.662,-0.23
119,House,29910,63,2,ID,200,,,"SIMPSON, Michael K.",S001148,1950.0,,0.296,0.316,-17.7036,0.96775,540,7,,0.307,0.513
119,House,20749,21,11,IL,100,,,"FOSTER, Bill",F000454,1955.0,,-0.238,-0.217,-31.01868,0.94487,547,12,,-0.298,-0.056
119,House,20954,21,5,IL,100,,,"QUIGLEY, Mike",Q000023,1958.0,,-0.324,-0.224,-26.97748,0.95001,526,13,,-0.317,-0.082
119,House,21326,21,10,IL,100,,,"SCHNEIDER, Brad",S001190,1961.0,,-0.199,-0.112,-41.85399,0.92502,537,15,,-0.317,0.168
119,House,21371,21,2,IL,100,,,"KELLY, Robin L.",K000385,1956.0,,-0.474,-0.026,-15.21301,0.97207,537,6,,-0.491,-0.205
119,House,21519,21,12,IL,200,,,"BOST, Mike",B001295,1960.0,,0.402,-0.039,-41.47629,0.92659,544,20,,0.469,-0.059
119,House,21562,21,16,IL,200,,,"LAHOOD, Darin",L000585,1968.0,,0.46,0.226,-34.51528,0.93518,515,14,,0.458,0.422
119,House,21730,21,8,IL,100,,,"KRISHNAMOORTHI, S. Raja",K000391,1973.0,,-0.35,-0.016,-28.74227,0.94769,535,14,,-0.463,0.006
119,House,21906,21,6,IL,100,,,"CASTEN, Sean",C001117,1971.0,,-0.623,0.401,-26.99838,0.95167,545,10,,-0.523,0.182
119,House,21921,21,4,IL,100,,,"GARCÍA, Jesús",G000586,1956.0,,-0.439,-0.875,-23.37893,0.9574,537,8,,-0.454,-0.845
119,House,21979,21,14,IL,100,,,"UNDERWOOD, Lauren",U000040,1986.0,,-0.593,0.296,-17.57853,0.96832,546,8,,-0.551,-0.072
119,House,22138,21,15,IL,200,,,"MILLER, Mary E.",M001211,1959.0,,0.785,-0.173,-40.28359,0.92812,540,15,,0.775,-0.246
119,House,22304,21,13,IL,100,,,"BUDZINSKI, Nikki",B001315,1977.0,,-0.316,0.402,-43.84838,0.92324,549,14,,-0.295,0.229
119,House,22330,21,1,IL,100,,,"JACKSON, Jonathan",J000309,1966.0,,-0.351,-0.454,-35.5328,0.9327,510,15,,-0.31,-0.426
119,House,22360,21,3,IL,100,,,"RAMIREZ, Delia",R000617,1983.0,,-0.496,-0.868,-20.87424,0.96116,527,9,,-0.515,-0.857
119,House,22365,21,17,IL,100,,,"SORENSEN, Eric",S001225,1976.0,,-0.239,0.227,-41.03866,0.92772,547,14,,-0.223,0.119
119,House,29717,21,7,IL,100,,,"DAVIS, Danny K.",D000096,1941.0,,-0.487,-0.267,-10.78617,0.97989,531,3,,-0.525,-0.264
119,House,29911,21,9,IL,100,,,"SCHAKOWSKY, Janice D.",S001145,1944.0,,-0.602,-0.288,-13.06316,0.97533,523,6,,-0.624,-0.11
119,House,20757,22,7,IN,100,,,"CARSON, André",C001072,1974.0,,-0.434,0.021,-33.25583,0.94059,543,9,,-0.39,-0.331
119,House,21100,22,3,IN,200,,,"STUTZMAN, Marlin",S001188,1976.0,,0.716,-0.063,-42.06521,0.92452,536,21,,0.604,-0.009
119,House,21903,22,4,IN,200,,,"BAIRD, James",B001307,1945.0,,0.446,0.417,-24.88362,0.9531,518,8,,0.543,0.619
119,House,22142,22,1,IN,100,,,"MRVAN, Frank J.",M001214,1969.0,,-0.3,0.356,-48.07168,0.91406,535,24,,-0.278,0.323
119,House,22151,22,5,IN,200,,,"SPARTZ, Victoria",S000929,1978.0,,0.494,-0.279,-76.26042,0.86359,520,33,,0.554,-0.371
119,House,22171,22,2,IN,200,,,"YAKYM, Rudy, III",Y000067,1984.0,,0.522,0.167,-19.02704,0.96594,549,5,,0.612,0.399
119,House,22326,22,9,IN,200,,,"HOUCHIN, Erin",H001093,1976.0,,0.624,0.188,-29.89508,0.94614,540,13,,0.615,0.12
119,House,22540,22,8,IN,200,,,"MESSMER, Mark B.",M001233,1962.0,,0.55,0.29,-18.82201,0.96587,542,5,,0.55,0.29
119,House,22552,22,6,IN,200,,,"SHREVE, Jefferson",S001229,1965.0,,0.515,0.137,-23.39863,0.95775,542,5,,0.515,0.137
119,House,22113,31,4,IA,200,,,"FEENSTRA, Randy",F000446,1969.0,,0.467,0.183,-21.52881,0.96106,542,7,,0.431,0.224
119,House,22124,31,2,IA,200,,,"HINSON, Ashley",H001091,1983.0,,0.356,0.35,-23.77712,0.95692,540,9,,0.481,0.316
119,House,22139,31,1,IA,200,,,"MILLER-MEEKS, Mariannette",M001215,1955.0,,0.338,0.18,-37.90659,0.93123,532,15,,0.364,0.08
119,House,22356,31,3,IA,200,,,"NUNN, Zach",N000193,1979.0,,0.293,0.203,-30.36502,0.9438,525,10,,0.301,0.207
119,House,21750,32,4,KS,200,,,"ESTES, Ron",E000298,1956.0,,0.647,0.133,-40.61975,0.92818,545,16,,0.79,0.593
119,House,21914,32,3,KS,100,,,"DAVIDS, Sharice",D000629,1980.0,,-0.264,0.232,-57.41742,0.89983,544,27,,-0.226,0.104
119,House,22134,32,1,KS,200,,,"MANN, Tracey",M000871,1976.0,,0.608,0.064,-27.53804,0.95108,549,12,,0.639,0.088
119,House,22551,32,2,KS,200,,,"SCHMIDT, Derek",S001228,1968.0,,0.678,0.014,-48.4898,0.91472,544,22,,0.678,0.014
119,House,14854,51,5,KY,200,,,"ROGERS, Harold Dallas (Hal)",R000395,1937.0,,0.334,0.157,-16.40289,0.97003,539,3,,0.401,0.916
119,House,20916,51,2,KY,200,,,"GUTHRIE, Brett",G000558,1964.0,,0.426,0.273,-22.23991,0.96009,546,4,,0.368,0.389
119,House,21333,51,6,KY,200,,,"BARR, Garland H. (Andy), IV",B001282,1973.0,,0.489,0.296,-22.1132,0.95805,516,14,,0.641,0.476
119,House,21565,51,1,KY,200,,,"COMER, James",C001108,1972.0,,0.593,-0.071,-38.38349,0.93126,539,18,,0.584,-0.13
119,House,22347,51,3,KY,100,,,"MCGARVEY, Morgan",M001220,1979.0,,-0.487,-0.073,-23.31581,0.95835,548,12,,-0.387,-0.369
119,House,31102,51,4,KY,200,,,"MASSIE, Thomas",M001184,1971.0,,0.654,-0.756,-194.00143,0.68812,519,76,,0.506,-0.862
119,House,20759,45,1,LA,200,,,"SCALISE, Steve",S001176,1965.0,,0.559,0.163,-28.72629,0.94819,540,9,,0.548,0.061
119,House,21724,45,3,LA,200,,,"HIGGINS, Clay",H001077,1961.0,,0.63,-0.321,-54.96612,0.90288,538,25,,0.771,-0.264
